condition,task_type,trial,agent,completion,build,tests_pass,no_regression,file_discipline,spec_match,duration_s,total
context-share,complex,1,a,1,1,1,1,1,1,56,6
context-share,complex,1,b,1,1,1,1,1,1,164,6
context-share,complex,10,a,1,1,1,1,1,1,53,6
context-share,complex,10,b,1,1,1,1,1,1,92,6
context-share,complex,2,a,1,1,1,1,1,1,83,6
context-share,complex,2,b,1,1,1,1,1,1,165,6
context-share,complex,3,a,1,1,1,1,1,1,64,6
context-share,complex,3,b,1,1,1,1,1,1,118,6
context-share,complex,4,a,1,1,1,1,1,1,46,6
context-share,complex,4,b,1,1,1,1,1,1,168,6
context-share,complex,5,a,1,1,1,1,1,1,68,6
context-share,complex,5,b,1,1,1,1,1,1,154,6
context-share,complex,6,a,1,1,1,1,1,1,46,6
context-share,complex,6,b,1,1,1,1,1,1,84,6
context-share,complex,7,a,1,1,1,1,1,1,48,6
context-share,complex,7,b,1,1,1,1,1,1,105,6
context-share,complex,8,a,1,1,1,1,1,1,54,6
context-share,complex,8,b,1,1,1,1,1,1,84,6
context-share,complex,9,a,1,1,1,1,1,1,45,6
context-share,complex,9,b,1,1,1,1,1,1,157,6
context-share,simple,1,a,1,1,1,1,1,1,36,6
context-share,simple,1,b,1,1,1,1,1,1,40,6
context-share,simple,10,a,1,1,1,1,1,1,36,6
context-share,simple,10,b,1,1,1,1,1,1,37,6
context-share,simple,2,a,1,1,1,1,1,1,51,6
context-share,simple,2,b,1,1,1,1,1,1,33,6
context-share,simple,3,a,1,1,1,1,1,1,66,6
context-share,simple,3,b,1,1,1,1,1,1,44,6
context-share,simple,4,a,1,1,1,1,1,1,32,6
context-share,simple,4,b,1,1,1,1,1,1,53,6
context-share,simple,5,a,1,1,1,1,1,1,36,6
context-share,simple,5,b,1,1,1,1,1,1,42,6
context-share,simple,6,a,1,1,1,1,1,1,40,6
context-share,simple,6,b,1,1,1,1,1,1,56,6
context-share,simple,7,a,1,1,1,1,1,1,37,6
context-share,simple,7,b,1,1,1,1,1,1,43,6
context-share,simple,8,a,1,1,1,1,1,1,34,6
context-share,simple,8,b,1,1,1,1,1,1,40,6
context-share,simple,9,a,1,1,1,1,1,1,49,6
context-share,simple,9,b,1,1,1,1,1,1,45,6
messaging,complex,1,a,1,1,1,1,1,1,55,6
messaging,complex,1,b,1,1,1,1,1,1,152,6
messaging,complex,10,a,1,1,1,1,1,1,59,6
messaging,complex,10,b,1,1,1,1,1,1,243,6
messaging,complex,2,a,1,1,1,1,1,1,76,6
messaging,complex,2,b,1,1,1,1,1,1,75,6
messaging,complex,3,a,1,1,1,1,1,1,67,6
messaging,complex,3,b,1,1,1,1,1,1,90,6
messaging,complex,4,a,1,1,1,1,1,1,80,6
messaging,complex,4,b,1,1,1,1,1,1,159,6
messaging,complex,5,a,1,1,1,1,1,1,71,6
messaging,complex,5,b,1,1,1,1,1,1,208,6
messaging,complex,6,a,1,1,1,1,1,1,82,6
messaging,complex,6,b,1,1,1,1,1,1,102,6
messaging,complex,7,a,1,1,1,1,1,1,78,6
messaging,complex,7,b,1,1,1,1,1,1,313,6
messaging,complex,8,a,1,1,1,1,1,1,64,6
messaging,complex,8,b,1,1,1,1,1,1,194,6
messaging,complex,9,a,1,1,1,1,1,1,85,6
messaging,complex,9,b,1,1,1,1,1,1,173,6
messaging,simple,1,a,1,1,1,1,1,1,46,6
messaging,simple,1,b,1,1,1,1,1,1,49,6
messaging,simple,10,a,1,1,1,1,1,1,42,6
messaging,simple,10,b,1,1,1,1,1,1,51,6
messaging,simple,2,a,1,1,1,1,1,1,73,6
messaging,simple,2,b,1,1,1,1,1,1,49,6
messaging,simple,3,a,1,1,1,1,1,1,60,6
messaging,simple,3,b,1,1,1,1,1,1,48,6
messaging,simple,4,a,1,1,1,1,1,1,39,6
messaging,simple,4,b,1,1,1,1,1,1,63,6
messaging,simple,5,a,1,1,1,1,1,1,64,6
messaging,simple,5,b,1,1,1,1,1,1,46,6
messaging,simple,6,a,1,1,1,1,1,1,51,6
messaging,simple,6,b,1,1,1,1,1,1,52,6
messaging,simple,7,a,1,1,1,1,1,1,54,6
