condition,task_type,trial,agent,completion,build,tests_pass,no_regression,file_discipline,spec_match,duration_s,total
anticipatory,complex,1,a,1,1,1,1,1,1,59,6
anticipatory,complex,1,b,1,1,1,1,1,1,58,6
anticipatory,complex,10,a,1,1,1,1,1,1,49,6
anticipatory,complex,10,b,1,1,1,1,1,1,92,6
anticipatory,complex,2,a,1,1,1,1,1,1,59,6
anticipatory,complex,2,b,1,1,1,1,1,1,78,6
anticipatory,complex,3,a,1,1,1,1,1,1,44,6
anticipatory,complex,3,b,1,1,1,1,1,1,262,6
anticipatory,complex,4,a,1,1,1,1,1,1,54,6
anticipatory,complex,4,b,1,1,1,1,1,1,68,6
anticipatory,complex,5,a,1,1,1,1,1,1,65,6
anticipatory,complex,5,b,1,1,1,1,1,1,183,6
anticipatory,complex,6,a,1,1,1,1,1,1,42,6
anticipatory,complex,6,b,1,1,1,1,1,1,76,6
anticipatory,complex,7,a,1,1,1,1,1,1,36,6
anticipatory,complex,7,b,1,1,1,1,1,1,172,6
anticipatory,complex,8,a,1,1,1,1,1,1,40,6
anticipatory,complex,8,b,1,1,1,1,1,1,94,6
anticipatory,complex,9,a,1,1,1,1,1,1,39,6
anticipatory,complex,9,b,1,1,1,1,1,1,70,6
anticipatory,simple,1,a,0,0,0,0,0,0,0,0
anticipatory,simple,1,b,0,0,0,0,0,0,0,0
anticipatory,simple,10,a,1,1,1,1,1,1,35,6
anticipatory,simple,10,b,1,1,1,1,1,1,44,6
anticipatory,simple,2,a,1,1,1,1,1,1,42,6
anticipatory,simple,2,b,1,1,1,1,1,1,36,6
anticipatory,simple,3,a,1,1,1,1,1,1,33,6
anticipatory,simple,3,b,1,1,1,1,1,1,39,6
anticipatory,simple,4,a,1,1,1,1,1,1,39,6
anticipatory,simple,4,b,1,1,1,1,1,1,35,6
anticipatory,simple,5,a,1,1,1,1,1,1,36,6
anticipatory,simple,5,b,1,1,1,1,1,1,33,6
anticipatory,simple,6,a,1,1,1,1,1,1,45,6
anticipatory,simple,6,b,1,1,1,1,1,1,40,6
anticipatory,simple,7,a,1,1,1,1,1,1,39,6
anticipatory,simple,7,b,1,1,1,1,1,1,43,6
anticipatory,simple,8,a,1,1,1,1,1,1,74,6
anticipatory,simple,8,b,1,1,1,1,1,1,36,6
anticipatory,simple,9,a,1,1,1,1,1,1,42,6
anticipatory,simple,9,b,1,1,1,1,1,1,41,6
