condition,task_type,trial,agent,completion,build,tests_pass,no_regression,file_discipline,spec_match,duration_s,total
anticipatory,complex,1,a,1,0,1,1,1,1,38,5
anticipatory,complex,1,b,1,0,1,1,1,1,186,5
anticipatory,complex,10,a,1,0,1,1,1,1,63,5
anticipatory,complex,10,b,1,0,1,1,1,1,71,5
anticipatory,complex,2,a,1,0,1,1,1,1,40,5
anticipatory,complex,2,b,1,0,1,1,1,1,83,5
anticipatory,complex,3,a,1,0,1,1,1,1,42,5
anticipatory,complex,3,b,1,0,1,1,1,1,181,5
anticipatory,complex,4,a,1,0,1,1,1,1,71,5
anticipatory,complex,4,b,1,0,1,1,1,1,50,5
anticipatory,complex,5,a,1,0,1,1,1,1,50,5
anticipatory,complex,5,b,1,0,1,1,1,1,210,5
anticipatory,complex,6,a,1,0,1,1,1,1,48,5
anticipatory,complex,6,b,1,0,1,1,1,1,273,5
anticipatory,complex,7,a,1,0,1,1,1,1,42,5
anticipatory,complex,7,b,1,0,1,1,1,1,239,5
anticipatory,complex,8,a,1,0,1,1,1,1,38,5
anticipatory,complex,8,b,1,0,1,1,1,1,271,5
anticipatory,complex,9,a,1,0,1,1,1,1,56,5
anticipatory,complex,9,b,1,0,1,1,1,1,253,5
anticipatory,simple,1,a,1,0,1,1,1,1,37,5
anticipatory,simple,1,b,1,0,1,1,1,1,43,5
anticipatory,simple,10,a,1,0,1,1,1,1,31,5
anticipatory,simple,10,b,1,0,1,1,1,1,29,5
anticipatory,simple,2,a,1,0,1,1,1,1,46,5
anticipatory,simple,2,b,1,0,1,1,1,1,33,5
anticipatory,simple,3,a,1,0,1,1,1,1,40,5
anticipatory,simple,3,b,1,0,1,1,1,1,34,5
anticipatory,simple,4,a,1,0,1,1,1,1,38,5
anticipatory,simple,4,b,1,0,1,1,1,1,35,5
anticipatory,simple,5,a,1,0,1,1,1,1,33,5
anticipatory,simple,5,b,1,0,1,1,1,1,35,5
anticipatory,simple,6,a,1,0,1,1,1,1,34,5
anticipatory,simple,6,b,1,0,1,1,1,1,38,5
anticipatory,simple,7,a,1,0,1,1,1,1,35,5
anticipatory,simple,7,b,1,0,1,1,1,1,44,5
anticipatory,simple,8,a,1,0,1,1,1,1,49,5
anticipatory,simple,8,b,1,0,1,1,1,1,36,5
anticipatory,simple,9,a,1,0,1,1,1,1,55,5
anticipatory,simple,9,b,1,0,1,1,1,1,34,5
